0.100000	0.000003	0.007415	0.000415
0.200000	0.000007	0.015299	0.000864
0.300000	0.000011	0.023670	0.001350
0.400000	0.000015	0.032548	0.001876
0.500000	0.000018	0.041945	0.002446
0.600000	0.000023	0.051877	0.003062
0.700000	0.000027	0.062354	0.003728
0.800000	0.000031	0.073383	0.004447
0.900000	0.000035	0.084967	0.005224
1.000000	0.000039	0.097104	0.006062
1.100000	0.000043	0.109787	0.006967
1.200000	0.000047	0.122999	0.007942
1.300000	0.000051	0.136715	0.008992
1.400000	0.000053	0.150899	0.010121
1.500000	0.000056	0.165505	0.011339
1.600000	0.000059	0.180470	0.012647
1.700000	0.000059	0.195709	0.014050
1.800000	0.000059	0.211127	0.015558
1.900000	0.000059	0.226599	0.017175
2.000000	0.000057	0.241973	0.018907
